,Price,Currency,Brokered_by,AD_Situation,Rooms,Bath,Building space,Measruing unit,Address,City,State
646,339000,USD,VIP Realty,New - 7 hours ago,4,3.0,1526,sqft,"6421 163rd Street Ct E, Puyallup, WA 98375",Puyallup, WA 98375
647,324950,USD,Windermere Real Estate/PSR Inc,New - 7 hours ago,3,2.5,1400,sqft,"4802 Nassau Ave NE Apt 72, Tacoma, WA 98422",Tacoma, WA 98422
648,369000,USD,Windermere Professional Partners - Puyallup,New - 7 hours ago,2,2.0,1627,sqft,"11927 58th Ave E, Puyallup, WA 98373",Puyallup, WA 98373
649,329000,USD,Realogics Sotheby's International Realty,New - 7 hours ago,4,2.0,2050,sqft,"10209 114th St SW, Lakewood, WA 98498",Lakewood, WA 98498
650,750000,USD,Realty Executives Brio,New - 7 hours ago,3,2.5,2776,sqft,"1887 Overview Dr NE, Tacoma, WA 98422",Tacoma, WA 98422
651,349950,USD,John L. Scott - Kent North,New - 7 hours ago,3,2.0,1340,sqft,"19310 76th St E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
652,350000,USD,Windermere Professional Partners,New - 7 hours ago,4,2.0,1484,sqft,"833 E 46th St, Tacoma, WA 98404",Tacoma, WA 98404
653,539000,USD,JOHN L. SCOTT REAL ESTATE,New - 7 hours ago,4,2.5,2264,sqft,"4012 53rd St NE, Tacoma, WA 98422",Tacoma, WA 98422
654,285000,USD,Best Choice Realty LLC,New - 7 hours ago,3,1.0,1456,sqft,"1125 E 61st St, Tacoma, WA 98404",Tacoma, WA 98404
655,379950,USD,Windermere Abode,New - 7 hours ago,3,2.5,1670,sqft,"15112 112th Ave E, Puyallup, WA 98374",Puyallup, WA 98374
656,464900,USD,Home Team Northwest,New - 7 hours ago,4,2.5,2113,sqft,"3927 15th Ave SE, Puyallup, WA 98372",Puyallup, WA 98372
657,519995,USD,John L. Scott - Woodinville,New - 7 hours ago,4,2.5,3309,sqft,"9325 228th Ave E, Buckley, WA 98321",Buckley, WA 98321
658,430000,USD,Next Home South Sound,New - 7 hours ago,4,2.5,2298,sqft,"3184 Sheaser Way, DuPont, WA 98327",DuPont, WA 98327
659,445000,USD,John L. Scott - Kent North,New - 7 hours ago,4,2.0,2200,sqft,"10202 201st Avenue Ct E, Bonney Lake, WA 98391",Bonney Lake, WA 98391
660,399950,USD,JOHN L. SCOTT REAL ESTATE - PUYALLUP,New - 7 hours ago,4,2.5,2091,sqft,"17312 94th Avenue Ct E, Puyallup, WA 98375",Puyallup, WA 98375
661,339500,USD,Windermere Professional Partners - Puyallup,New - 7 hours ago,3,1.0,1056,sqft,"19108 58th St E, Lake Tapps, WA 98391",Lake Tapps, WA 98391
